city,season,n,mean,std,emp_2sig_pct,gauss_2sig_pct,emp_3sig_pct,gauss_3sig_pct,max_abs_err
AUS,DJF,271,0.22,2.51,5.2,4.6,3.0,0.27,12.8
AUS,JJA,276,-0.16,1.75,6.2,4.6,1.8,0.27,6.1
AUS,MAM,276,-0.1,1.93,6.2,4.6,0.4,0.27,7.2
AUS,SON,273,0.59,1.77,7.0,4.6,1.1,0.27,6.2
CHI,DJF,271,0.68,1.73,7.4,4.6,1.8,0.27,7.2
CHI,JJA,276,0.27,1.75,3.6,4.6,0.7,0.27,8.7
CHI,MAM,276,0.45,1.93,4.7,4.6,1.1,0.27,8.9
CHI,SON,273,0.91,1.49,7.0,4.6,0.0,0.27,4.3
LAX,DJF,271,1.99,1.93,5.5,4.6,0.4,0.27,6.1
LAX,JJA,276,2.56,2.9,5.4,4.6,1.1,0.27,9.4
LAX,MAM,276,3.14,1.81,6.5,4.6,1.1,0.27,6.4
LAX,SON,273,2.13,2.47,7.0,4.6,1.1,0.27,9.6
MIA,DJF,271,-0.22,1.3,4.8,4.6,0.7,0.27,5.5
MIA,JJA,276,1.13,1.88,6.2,4.6,0.4,0.27,5.8
MIA,MAM,276,-0.91,1.26,5.1,4.6,0.7,0.27,4.9
MIA,SON,273,0.31,1.42,4.8,4.6,0.4,0.27,5.0
NY,DJF,271,0.68,1.58,5.9,4.6,0.4,0.27,7.0
NY,JJA,276,-0.06,1.89,4.0,4.6,0.7,0.27,6.2
NY,MAM,276,0.11,1.84,4.7,4.6,0.7,0.27,8.6
NY,SON,273,0.2,1.55,3.7,4.6,0.7,0.27,6.9
