snapshot_utc,snapshot_date_local,city,settle_date,market_ticker,lower,upper,side,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,open_interest,forecast_high,realized_high
2026-05-30T12:12:21.237653+00:00,2026-05-30,NY,2026-05-31,KXHIGHNY-26MAY31-T72,-100.0,72.0,tail_lo,,,,,,,,73.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,NY,2026-05-31,KXHIGHNY-26MAY31-B72.5,72.5,73.5,bracket,,,,,,,,73.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,NY,2026-05-31,KXHIGHNY-26MAY31-B74.5,74.5,75.5,bracket,,,,,,,,73.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,NY,2026-05-31,KXHIGHNY-26MAY31-B76.5,76.5,77.5,bracket,,,,,,,,73.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,NY,2026-05-31,KXHIGHNY-26MAY31-B78.5,78.5,79.5,bracket,,,,,,,,73.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,NY,2026-05-31,KXHIGHNY-26MAY31-T79,79.0,200.0,tail_hi,,,,,,,,73.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,CHI,2026-05-31,KXHIGHCHI-26MAY31-T74,-100.0,74.0,tail_lo,,,,,,,,79.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,CHI,2026-05-31,KXHIGHCHI-26MAY31-B74.5,74.5,75.5,bracket,,,,,,,,79.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,CHI,2026-05-31,KXHIGHCHI-26MAY31-B76.5,76.5,77.5,bracket,,,,,,,,79.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,CHI,2026-05-31,KXHIGHCHI-26MAY31-B78.5,78.5,79.5,bracket,,,,,,,,79.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,CHI,2026-05-31,KXHIGHCHI-26MAY31-B80.5,80.5,81.5,bracket,,,,,,,,79.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,CHI,2026-05-31,KXHIGHCHI-26MAY31-T81,81.0,200.0,tail_hi,,,,,,,,79.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,LAX,2026-05-31,KXHIGHLAX-26MAY31-B68.5,68.5,69.5,bracket,,,,,,,,73.1,
2026-05-30T12:12:21.237653+00:00,2026-05-30,LAX,2026-05-31,KXHIGHLAX-26MAY31-B70.5,70.5,71.5,bracket,,,,,,,,73.1,
2026-05-30T12:12:21.237653+00:00,2026-05-30,LAX,2026-05-31,KXHIGHLAX-26MAY31-B72.5,72.5,73.5,bracket,,,,,,,,73.1,
2026-05-30T12:12:21.237653+00:00,2026-05-30,LAX,2026-05-31,KXHIGHLAX-26MAY31-B74.5,74.5,75.5,bracket,,,,,,,,73.1,
2026-05-30T12:12:21.237653+00:00,2026-05-30,LAX,2026-05-31,KXHIGHLAX-26MAY31-T75,75.0,200.0,tail_hi,,,,,,,,73.1,
2026-05-30T12:12:21.237653+00:00,2026-05-30,LAX,2026-05-31,KXHIGHLAX-26MAY31-T68,-100.0,68.0,tail_lo,,,,,,,,73.1,
2026-05-30T12:12:21.237653+00:00,2026-05-30,MIA,2026-05-31,KXHIGHMIA-26MAY31-T86,-100.0,86.0,tail_lo,,,,,,,,89.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,MIA,2026-05-31,KXHIGHMIA-26MAY31-B86.5,86.5,87.5,bracket,,,,,,,,89.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,MIA,2026-05-31,KXHIGHMIA-26MAY31-B88.5,88.5,89.5,bracket,,,,,,,,89.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,MIA,2026-05-31,KXHIGHMIA-26MAY31-B90.5,90.5,91.5,bracket,,,,,,,,89.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,MIA,2026-05-31,KXHIGHMIA-26MAY31-B92.5,92.5,93.5,bracket,,,,,,,,89.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,MIA,2026-05-31,KXHIGHMIA-26MAY31-T93,93.0,200.0,tail_hi,,,,,,,,89.2,
2026-05-30T12:12:21.237653+00:00,2026-05-30,AUS,2026-05-31,KXHIGHAUS-26MAY31-T89,-100.0,89.0,tail_lo,,,,,,,,91.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,AUS,2026-05-31,KXHIGHAUS-26MAY31-B89.5,89.5,90.5,bracket,,,,,,,,91.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,AUS,2026-05-31,KXHIGHAUS-26MAY31-B91.5,91.5,92.5,bracket,,,,,,,,91.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,AUS,2026-05-31,KXHIGHAUS-26MAY31-B93.5,93.5,94.5,bracket,,,,,,,,91.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,AUS,2026-05-31,KXHIGHAUS-26MAY31-B95.5,95.5,96.5,bracket,,,,,,,,91.6,
2026-05-30T12:12:21.237653+00:00,2026-05-30,AUS,2026-05-31,KXHIGHAUS-26MAY31-T96,96.0,200.0,tail_hi,,,,,,,,91.6,
